Column Title,Mean,Standard Deviation
Num Heteroatoms,6.5,1.224744871391589
Num Hydrogen Bond Acceptor,4.5,1.224744871391589
LogP,0.7488333333333334,0.7253684351187792
Num Rotatable Bonds,2.5,0.8366600265340756
Num Aromatic Heterocycles,0.6666666666666666,0.5163977794943223
Num Lipinski HB Donor,3.3333333333333335,0.5163977794943222
Num Atoms,15.166666666666666,2.9268868558020253
Num Lipinski HB Acceptor,5.166666666666667,0.983192080250175
Num Rings,1.6666666666666667,0.5163977794943222
Num Heterocycles,0.6666666666666666,0.5163977794943223
Mol Wt,232.87266666666665,42.50472430997131
Labute ASA,89.86349999999999,17.243948489252688
Num Aromatic Rings,1.6666666666666667,0.5163977794943222
Topological Polar SA,91.89166666666665,6.670584432166843
