LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-4.174,2.222,3.303,1,0.999,0.598,1,0.999,-5.496,0.000128204003,0.103,89.33,0.638,6.95,0.002,0.011,0.035,0.057,0.137,0.018,0.007,0.044,0.721,0.72,4.274,0.037,0.061,0.925,0.927,0.006,0.487,0.121,0.061,0.018,0.003,0.004,0.854,0.404,4.283,5.002,6.791,0.407,0.925,0.016,0.666,0.524,0.744,0.929,0.587,0.912,0.456,0.982,0.997,971.36,955.158,1.017,19,5,277.05,21,7,16,19,0,45,0.467,12,2,0,0,0,6,2,2,1,0.114,6.431,0.471,180.72,1.544,1,0,0,0,0,1,0,0
-4.97,2.709,3.719,1,0.998,0.023,0.957,0.994,-5.444,4.74E-05,0.104,94.89,1.059,7.19,0.006,0.027,0.092,0.075,0.578,0.023,0.014,0.058,0.791,0.783,2.841,0.033,0.435,0.922,0.926,0.011,0.677,0.894,0.063,0.03,0.003,0.005,0.963,0.49,4.028,5.016,6.923,0.225,0.956,0.036,0.857,0.61,0.606,0.975,0.863,0.923,0.371,0.977,0.995,839.35,847.295,0.991,14,4,204.22,15,7,16,14,0,43,0.349,11,2,0,0,0,6,2,1,1,0.157,6.026,0.468,172.217,1.524,1,0,0,0,0,1,0,0
-4.258,2.957,4.208,1,0.984,0.009,0.989,0.999,-5.379,3.98E-05,0.087,96.5,1.391,7.32,0.014,0.024,0.183,0.057,0.786,0.011,0.032,0.048,0.795,0.399,7.41,0.024,0.054,0.626,0.982,0.01,0.119,0.013,0.066,0.082,0.003,0.008,0.475,0.381,4.184,5.073,6.604,0.697,0.915,0.021,0.837,0.876,0.724,0.888,0.845,0.687,0.115,0.962,0.992,911.34,897.065,1.016,17,3,228.75,13,8,22,17,0,53,0.245,12,2,0,0,0,6,2,2,1,0.2,7.236,0.469,186,1.086,2,0,0,0,0,1,0,0
-4.701,2.909,3.986,1,0.993,0.037,0.998,0.884,-5.271,9.46E-05,0.021,68.77,0.437,10.06,0.001,0.052,0.202,0.291,0.669,0.012,0.018,0.039,0.915,0.871,8.716,0.025,0.081,0.714,0.951,0.076,0.15,0.037,0.162,0.147,0.003,0.004,0.658,0.822,4.122,5.153,7.033,0.001,0.457,0.013,0.78,0.559,0.896,0.966,0.892,0.269,0.887,0.944,0.998,1155.47,1120.662,1.031,22,3,282.74,35,5,16,24,0,33,1.061,10,3,0,1,0,9,5,7,2,0.031,6.881,0.727,163.684,1.138,2,2,0,0,0,1,0,0
-4.291,3.593,5.736,1,0.763,0.004,0.701,0.913,-5.349,3.27E-05,0.029,96.78,2.236,2.82,0.013,0.038,0.159,0.064,0.88,0.009,0.036,0.044,0.856,0.589,3.824,0.008,0.356,0.674,0.99,0.01,0.032,0.019,0.029,0.075,0.003,0.006,0.076,0.845,4.671,5.879,6.905,0.035,0.832,0.025,0.836,0.912,0.629,0.884,0.867,0.771,0.098,0.961,0.99,939.4,942.799,0.996,16,3,211.68,13,8,23,16,0,53,0.245,12,2,0,0,0,5,2,2,1,0.185,7.335,0.519,193.519,1.107,1,0,0,0,0,1,0,0
-4.549,2.596,3.577,1,0.88,0.102,0.234,0.994,-5.35,7.62E-05,0.086,87.9,0.949,8.03,0.002,0.054,0.046,0.398,0.155,0.045,0.009,0.087,0.799,0.826,7.093,0.009,0.419,0.933,0.909,0.016,0.839,0.897,0.031,0.041,0.003,0.004,0.905,0.696,4.916,6.231,7.456,0.005,0.219,0.016,0.886,0.27,0.625,0.965,0.76,0.4,0.788,0.975,0.986,779.35,779.918,0.999,14,4,204.22,13,6,16,14,0,37,0.351,12,3,0,0,0,3,1,1,1,0.172,6.114,0.595,167.478,1.545,1,0,0,1,0,1,0,0
-4.608,4.075,7.057,0.813,0.938,0.042,0.994,0.973,-5.699,0.0003401345748,0.993,100.61,1.673,5.23,0.035,0.045,0.68,0.134,0.953,0.006,0.9,0.027,0.859,0.94,8.957,0.021,0.045,0.871,0.925,0.458,0.742,0.938,0.214,0.089,0.003,0.027,0.959,0.786,5.423,6.329,7.459,0.737,0.886,0.097,0.821,0.872,0.92,0.77,0.94,0.938,0.885,0.995,0.999,1074.11,962.441,1.116,15,1,196.49,20,7,16,21,0,43,0.465,9,2,0,1,0,6,5,3,4,0.108,6.429,0.5,191.583,1.413,1,0,0,0,0,1,0,0
-4.169,2.914,4.602,1,0.992,0.685,0.998,0.999,-5.349,5.95E-05,0.215,86.94,0.457,6.99,0.007,0.058,0.363,0.096,0.923,0.037,0.209,0.048,0.885,0.79,10.143,0.013,0.029,0.665,0.937,0.023,0.447,0.638,0.271,0.263,0.003,0.006,0.961,0.619,4.727,5.461,6.667,0.009,0.594,0.015,0.865,0.517,0.912,0.987,0.906,0.597,0.93,0.98,0.998,919.35,894.961,1.027,16,3,227.36,21,5,16,18,0,33,0.636,10,3,0,1,0,8,5,5,2,0.071,6.366,0.667,160.64,1.593,2,2,0,0,0,1,0,0
-4.239,3.098,4.593,1,0.49,0.003,0.935,0.892,-5.344,5.95E-05,0.06,89.81,1.804,6.92,0.012,0.047,0.112,0.064,0.648,0.007,0.073,0.043,0.808,0.618,7.757,0.02,0.125,0.451,0.988,0.03,0.045,0.011,0.036,0.117,0.003,0.005,0.193,0.499,3.829,5.009,6.684,0.019,0.695,0.016,0.818,0.909,0.693,0.734,0.808,0.314,0.073,0.948,0.985,893.38,881.575,1.013,17,3,220.91,14,7,22,17,0,46,0.304,12,3,0,0,0,5,3,3,2,0.248,7.254,0.596,179.573,1.106,1,0,0,0,0,1,0,0
-4.789,3.188,4.675,0.997,0.999,0.006,0.922,0.83,-5.381,8.48E-05,0.026,90.78,1.432,7.84,0.001,0.079,0.182,0.647,0.208,0.012,0.011,0.195,0.904,0.916,4.744,0.004,0.832,0.844,0.94,0.774,0.619,0.054,0.054,0.044,0.003,0.004,0.911,1.19,4.249,7.05,7.185,0,0.904,0.031,0.788,0.701,0.608,0.981,0.861,0.747,0.874,0.93,0.998,897.41,877.764,1.022,16,3,193.67,16,8,19,17,0,44,0.364,12,2,0,0,0,3,1,3,1,0.161,6.47,0.696,195.282,1.03,1,0,0,0,0,1,0,0
