Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA
-0.4655686028,0.3879495561,0.4062991049,-1.009217121,-0.8588126653,0.2894559627,-0.577763269,0.3651996776,0.1393728608,0.07993801607,-0.3476756076,0.6425042467,0.509218825,1.360032485,0.77105314,0.3123335928,0.2679103243,-1.15624381,0.01401747945
-0.4655686028,0.1967199797,0.1425752212,1.071498783,0.3870389082,1.066241882,-0.577763269,0.3651996776,0.4294597942,0.4947035702,-0.3476756076,0.6425042467,-0.8277358126,-0.7014241612,-0.895235956,0.2511900847,0.2933176179,0.5390281263,0.5406366083
-0.4655686028,1.726556591,2.779814058,-1.009217121,-3.247868476,1.260438362,-0.577763269,2.767336783,0.3569380608,1.946383009,-1.502127878,3.611535868,-0.8277358126,-0.7014241612,-0.895235956,0.4534427007,0.5131193989,-1.15624381,2.759800164
-0.4655686028,-0.5681983261,-0.1211486625,-1.009217121,-0.9254386407,-0.293133477,-0.577763269,0.3651996776,-1.166018339,-0.334827538,-1.502127878,0.6425042467,-0.8277358126,-0.7014241612,-0.895235956,-1.149792135,-1.275646859,-1.15624381,-0.03909219651
0.3691913127,-0.5681983261,-0.64859643,0.03114083057,0.1960986127,-0.6815264368,-0.577763269,-0.2353345989,-0.5858444727,-0.542210315,-0.3476756076,-0.09975365862,-0.1592584938,-0.7014241612,-0.895235956,-0.5979540574,-0.6575329465,-0.3086078418,-0.4320042957
-0.4655686028,-0.9506574789,-0.64859643,0.03114083057,0.8832128392,-0.6815264368,-0.577763269,-0.5356017371,-0.440801006,-0.7495930921,-0.3476756076,-0.4708826113,-0.1592584938,0.3293041618,-0.06209140798,-0.5361363111,-0.4822458182,-0.3086078418,-0.6380996893
2.873471059,-0.5681983261,-0.1211486625,-1.009217121,0.2386200686,-0.6815264368,-0.577763269,0.06493253936,-0.005670605906,-0.334827538,0.8067766634,0.271375294,1.846173463,-0.7014241612,-0.895235956,-0.1589872354,-0.1059590386,-1.15624381,-0.07839584429
-0.4655686028,-0.3769687496,-0.64859643,-1.009217121,-0.5671208947,-0.4873299569,-0.577763269,-0.5356017371,-0.7308879394,-0.334827538,-0.924901743,-0.4708826113,-0.1592584938,0.3293041618,-0.06209140798,-0.7535239255,-0.5494573277,-1.15624381,-0.295934072
-0.4655686028,-0.9506574789,-0.64859643,0.03114083057,0.381351325,-0.4873299569,-0.577763269,-0.5356017371,-0.658366206,-0.7495930921,-0.3476756076,-0.4708826113,-0.1592584938,0.3293041618,-0.06209140798,-0.7580314204,-0.7307147426,-0.3086078418,-0.7811351163
2.038711144,-0.9506574789,-0.64859643,-1.009217121,0.7762321063,-1.069919397,-0.577763269,-0.5356017371,-0.2957575393,-0.7495930921,0.8067766634,-0.4708826113,1.846173463,0.3293041618,-0.06209140798,-0.4134768136,-0.3499838233,-1.15624381,-0.6791446379
-0.4655686028,-0.1857391732,-0.1211486625,1.071498783,0.7567318208,-0.09893699709,-0.577763269,-0.8358688754,0.2844163275,-0.334827538,0.8067766634,-0.8420115639,0.509218825,1.360032485,0.77105314,0.2322406894,0.2679347426,0.5390281263,-0.7123537327
-0.4655686028,0.3879495561,-0.1211486625,1.071498783,-0.9625433506,-0.293133477,0.8885909502,0.9657339541,0.2118945941,0.2873207931,0.2295505279,-0.8420115639,-0.8277358126,-0.7014241612,-0.06209140798,0.184713965,0.3880608174,1.386664094,0.8050655804
-0.4655686028,2.87393405,1.724918524,5.23293059,1.115049567,2.814010201,2.354945169,3.36787106,3.257807395,2.983296895,3.115681205,3.611535868,-0.8277358126,-0.7014241612,0.77105314,2.981873867,3.001495814,5.624843935,2.952338287
-0.4655686028,-0.3769687496,-0.64859643,0.03114083057,-0.3119921594,-0.6815264368,2.354945169,-0.5356017371,-0.2232358059,-0.334827538,0.8067766634,-0.4708826113,-0.1592584938,0.3293041618,1.604197688,-0.3007611516,-0.2473412874,1.386664094,-0.5872288287
-0.4655686028,1.344097438,1.724918524,-1.009217121,-1.524801583,0.2894559627,0.8885909502,0.06493253936,0.3569380608,1.116851901,0.2295505279,-0.09975365862,0.509218825,1.360032485,1.604197688,0.3919314263,0.5374156576,-0.3086078418,0.9354143869
-0.4655686028,-1.141887055,-1.176044197,-1.009217121,-0.3187630919,-1.069919397,-0.577763269,-0.8358688754,-1.746192206,-1.164358646,-1.502127878,-0.8420115639,-0.8277358126,-0.7014241612,-0.895235956,-1.668781136,-1.667366036,-1.15624381,-1.045564088
-0.4655686028,-0.7594279025,-0.9123203137,-1.009217121,-1.078732552,-0.8757229167,-0.577763269,-0.5356017371,-1.093496606,-0.7495930921,-0.924901743,-0.4708826113,-0.1592584938,0.3293041618,-0.06209140798,-1.046124467,-1.105634095,-1.15624381,-0.8315084624
-0.4655686028,0.1967199797,0.1425752212,1.071498783,0.06040912614,0.4836524426,2.354945169,-0.5356017371,0.3569380608,0.07993801607,0.8067766634,-0.4708826113,-0.8277358126,-0.7014241612,0.77105314,0.3121497097,0.8083128368,2.234300063,-0.1282716758
-0.4655686028,1.726556591,0.1425752212,-1.009217121,-3.715875328,-0.293133477,-0.577763269,3.668138198,-0.440801006,1.324234678,-1.502127878,0.6425042467,-0.8277358126,-0.7014241612,-0.895235956,-0.1173824918,-0.04984566941,-1.15624381,2.777835066
-0.4655686028,-0.5681983261,-0.64859643,1.071498783,-0.2621580965,-0.293133477,-0.577763269,-0.5356017371,0.06685112744,-0.542210315,1.384002799,-0.4708826113,1.177696144,2.390760808,1.604197688,0.1753783584,0.1057114318,0.5390281263,-0.6791446379
-0.4655686028,-0.7594279025,-0.64859643,0.03114083057,0.9040673112,0.09525948281,0.8885909502,-0.5356017371,-0.005670605906,-0.542210315,0.2295505279,-0.4708826113,-0.1592584938,0.3293041618,0.77105314,-0.2156138187,-0.09726610588,0.5390281263,-0.5933233817
-0.4655686028,-0.1857391732,0.1425752212,1.071498783,0.4417480425,0.6778489225,-0.577763269,-0.2353345989,0.3569380608,0.07993801607,0.2295505279,-0.09975365862,-0.1592584938,0.3293041618,-0.06209140798,0.1571644957,0.2697539097,0.5390281263,-0.3341183121
-0.4655686028,0.005490403233,0.1425752212,0.03114083057,-0.03438392837,1.066241882,0.8885909502,-0.2353345989,0.5745032609,-0.127444761,-0.3476756076,-0.09975365862,-0.8277358126,-0.7014241612,-0.06209140798,0.4116635038,0.74121121,0.5390281263,0.0196145179
-0.4655686028,-1.141887055,-1.439768081,-1.009217121,-0.8929381649,-1.069919397,-0.577763269,0.3651996776,-1.746192206,-1.164358646,-1.502127878,-0.4708826113,-0.8277358126,-0.7014241612,-0.895235956,-1.607378306,-1.738130416,-1.15624381,-0.803896406
-0.4655686028,0.005490403233,0.6700229886,-1.009217121,-0.7626654243,-0.6815264368,0.8885909502,0.3651996776,-0.7308879394,0.2873207931,-0.3476756076,0.271375294,-0.1592584938,0.3293041618,0.77105314,-0.7818702219,-0.8753568412,-0.3086078418,0.2780733156
-0.4655686028,-0.7594279025,-1.439768081,-1.009217121,-0.8528542447,1.066241882,-0.577763269,-0.8358688754,-0.440801006,-0.9569758691,-1.502127878,-0.8420115639,-0.8277358126,-0.7014241612,-0.895235956,0.1047955148,-0.156785835,-1.15624381,-1.257878414
1.203951228,-0.1857391732,-0.3848725463,1.071498783,-0.1207810266,-0.6815264368,-0.577763269,0.9657339541,-0.07819233925,-0.127444761,0.8067766634,-0.09975365862,0.509218825,-0.7014241612,-0.895235956,-0.1403537419,-0.1712903351,0.5390281263,0.4279495675
-0.4655686028,2.30024532,0.6700229886,1.071498783,-0.4230354518,0.8720454024,-0.577763269,0.6654668158,1.299720594,1.324234678,-0.3476756076,1.013633199,-0.8277358126,-0.7014241612,-0.895235956,4.227587976,2.360636208,0.5390281263,1.193251292
0.3691913127,-0.5681983261,-0.1211486625,-1.009217121,0.5861043227,-0.8757229167,-0.577763269,-0.8358688754,-0.3682792726,-0.334827538,1.384002799,-0.8420115639,2.514650782,3.421489131,2.437342236,-0.4513897492,-0.4435915695,-1.15624381,-0.6838710259
