SMILES
COc1cc(cc(c1O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1O)O)C
COc1cc(cc(c1O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@H]1O[C@H]2CO[C@@H](O[C@@H]2[C@H]([C@@H]1O)O)C
COc1cc(cc(c1OC(=O)OCC(Cl)(Cl)Cl)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc(O)c(c2)O)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1OC(=O)OCC(Cl)(Cl)Cl)OC(=O)OCC(Cl)(Cl)Cl)C
COc1cc(cc(c1OP(=O)(O)O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1O)O)C
COc1cc(cc(c1O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O)O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1O)O)C
O=C([C@@H](c1ccccc1)N)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)OCOC(=O)[C@@H]1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C)(C)C
N#CCSCC(=O)N[C@]1(OC)C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C
O=C([C@@H](c1ccccc1)NC(=O)N1CCNC1=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)[O-])C[N+]1(C)CCCC1
O=C([C@@H](C1=CCC=CC1)N)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)C
