,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
MDCK,-0.07920076557255167,-0.0015062352470324937,0.008101657610018704,0.05039455212266591,-0.06616110662625187,0.02940438340278012,0.011134181724392393,-0.10463170126495015,-0.16139565335768852,0.06998221454619002,-0.055124754843411894,0.15394921995342775,-0.18303942861062,0.06167514576493993,-0.06547439009970021,0.24079465195848837,0.1019230032738607,-0.1312354464338408,0.3225624294339628,-0.2841449049127952,-0.05330202891755456,-0.032816936708263134,0.08647026457008272,0.0040101042124343345,0.49321894132531496,0.3128538029495649,0.07267048935075038,-0.07649524308145135,0.06161900814129266,-0.23383864567959867,-0.02713531141254847,0.05018895597238222,-0.16306673744635025,-0.004444961055864928,0.09863187531514109,-0.1302746920989434,-0.024128712809456002,-0.0009742129520030063,-0.03436196046933051,0.18205382579589408,0.019605438241359366,-0.02920013393563764,0.028778380840189022,0.09022324805893028,-0.04441747245757521,-0.10262148777145898,0.028619976954367993,-0.018235333138800464,-0.011467265844321797,0.06885793838149049,-0.01579987019122189,-0.10649261614112078,0.044934740494113695,0.03571754436593426,0.07784687366888703,0.09914351372132907,-0.018442566063850134,0.0444896250924343,-0.01732333389104833
BBB,0.03748722395356745,-0.13176108102300318,0.16173651066694042,-0.005996959659320439,0.10743965402769337,-0.0032083639479019155,0.10194367569429891,-0.13820518660266115,0.032234940924613514,-0.024619201394925183,-0.14194704284811452,-0.024789302759432242,0.10511853890768928,0.012615798047336285,-0.024845507233060518,-0.014059741505236978,-0.07970339210862092,-0.08731572248405434,0.011087420316385255,0.12977381964443047,-0.18659012466657357,0.04053553053120385,-0.08739604963296027,-0.153847093149455,0.24917801156077948,-0.1690986041820352,-0.036936469772317695,-0.24184379892244073,-0.04955816856196754,0.055095467705840444,0.08408684979025188,-0.09092414031094939,-0.02179830890085177,0.1339331032979008,-0.06339102446985477,0.07018199859784294,0.2804086225319626,-0.1406948895507113,0.06791830382574787,-0.1631981018744464,-0.13927801202243265,0.018284994954247055,0.08065921123891778,-0.08781063320942362,-0.28084623710132295,-0.19786626856460118,-0.17814111297418864,0.3187256111992214,0.039964926797178245,0.06278059784459994,0.13301138764907333,-0.0044623984509151865,0.03740103632359645,-0.021047858980993303,0.2080288296062121,-0.06598959529077301,-0.1661275385852658,-0.045103672738247294,-0.0074222405682529
PPB,0.19494523475422051,-0.01622926573605608,-0.11391378513670863,-0.022665111274373897,-0.0452196611643291,-0.12239841999675813,0.022917637593905194,0.09943625869037363,0.09758284763531097,0.011161392828670014,0.08901866534503905,0.09165341439002646,0.03487441270033567,-0.008516049796456565,0.09936183057601551,0.10271112643200303,0.06379407654403496,0.0847375939022037,-0.002435685710562933,-0.07758484799960991,-0.16117867450164963,-0.03721505034618522,-0.03684254721674561,-0.06582207442403798,0.01333226092539545,-0.03407343115351035,0.011388510765402867,0.02525064427727343,-0.06268627120626108,0.00200322535965744,-0.04109935847638113,-0.021198397921301987,-0.013212947152663107,-0.14888198251916793,0.10085571496906856,-0.2579469734040546,0.0805069126802507,0.041173099299556676,0.028578741128030043,0.07178773015966437,-0.15099477223115076,-0.05135601542931572,-0.18892554871826459,-0.07561330563228227,-0.06742325695885859,0.0897359801933597,-0.0007037008668418464,0.15288263863458373,-0.09987365201041784,-0.02235055512299898,-0.04952446270804918,0.03246218962577213,-0.08554728760788531,-0.13486039680322226,-0.09195531411821858,-0.000646628858123624,-0.02567574175817152,0.06788215799104215,0.055085952225320985
VDss,0.08873127291337186,-0.10785648528307162,0.12164365934412848,-0.1489922433351766,-0.035933416030673876,0.17820207644679942,0.09435637364133126,-0.07315858263522268,-0.08382351703492441,-0.05134734497739851,-0.005277557001518579,-0.08400670363734734,-0.012923516316495992,-0.030623992506466302,-0.023852811196290458,-0.013723109177174215,0.10385173035422304,-0.014491234959615955,0.057375564974375154,0.19145099341462818,-0.0805666826157735,-0.12467881258943339,0.12257777806892661,0.10551151676663081,-0.06931301269839032,0.07415572950239388,-0.13207628122153628,-0.07883351542351659,0.046624737974289315,-0.08393818254946595,0.017114468985221835,-0.15395299048433275,-0.03062260071250475,0.0020870318701790985,0.02368834397671427,0.15059827605857756,0.21264295168956598,-0.10461333087438154,0.2860291339886184,0.12179463519127999,-0.10646807057897092,-0.22606135456808868,-0.011105170246682242,0.09516520959774885,0.1500499624992463,0.19796960408653227,-0.09755016888774494,0.04663219740287398,-0.012808937791083306,0.17919544761543918,-0.09367990380415528,0.11514339416774874,0.18983786274645054,0.12362509599705376,-0.193881809499091,0.0718123976428792,0.19875976612927454,0.06116389386757401,0.10119539364745683
Fu,-0.19645482130890876,0.0032233026722884974,0.09942954118888982,0.010458371844874245,0.04887467113473486,0.13900638259207115,2.003882589671213e-05,-0.07606642654382813,-0.10007441095991446,0.005413678578851444,-0.06604416518655279,-0.07831214174349627,-0.04328689413602538,0.008169294016079326,-0.08886367985648073,-0.10426493317818614,-0.10034900800312377,-0.09625758620717684,0.01587137954316407,0.05332192524628188,0.19263488622154157,0.055196073948872534,0.029452739580387584,0.08003055737544383,-0.04045019376235301,0.029104042090599615,-0.021412637402080936,-0.048890327523249906,0.06133385611332062,-0.028927743507536505,0.03713444147844684,0.04439778241210666,-0.0003879447768495095,0.1670188351319943,-0.08160619315494828,0.2436614605985065,-0.07343599216583016,-0.021428987167011332,-0.0012423638354404215,-0.0803868020888653,0.1597225481069113,0.025965510748528473,0.19616591732307162,0.06831902549595961,0.06558282573019841,-0.08780610338017647,0.007070620789483922,-0.16879153470305244,0.05384367037402689,0.04289548903317078,0.08294034674949662,-0.04836950650164084,0.09031252392785094,0.09937360326404984,0.05920291862402914,0.0035596233970650003,0.040356323925014266,-0.02026912899676412,-0.061389247266056726
CYP1A2-inh,0.11576349476388988,-0.1107658117037475,-0.16301840267838608,0.021577239672981263,-0.029988232080098244,0.07461893320373332,-0.07081177778851443,-0.09431033982676972,0.05076932689134667,0.08584871689165649,-0.1524786972161013,-0.030554470241491577,0.1707057631564826,-0.03312963188421103,-0.17363821678470245,0.14312689999421674,0.0069259968551867515,0.16787081801949094,-0.026856382533520323,0.046685991348013725,0.004295074552183087,0.03913841202495101,0.1767710104794442,-0.01255137948278634,0.048366261018953416,0.01274951970532505,-0.08667526341487164,0.10478853571752668,-0.055114694033206596,0.1330796571042115,-0.03202143180979758,-0.1241719031869915,0.015529099910835314,0.05247831164620849,0.15233071777667442,-0.0985440955931822,-0.0005786267230702413,-0.073661262843485,-0.14305399625528972,-0.013250372894980836,0.15043637712965546,-0.019177818321661856,-0.06777286862066512,0.0335846111424637,0.07119075564291964,0.02266360931484345,0.21820727326915268,0.1138886478156217,0.12782461134243733,0.04711899783851252,-0.01543742242535243,0.04518402562878628,0.05337324898232637,0.10797098810913053,0.10810482522411996,-0.09686438190495976,-0.09248818453733205,0.23027963733625878,-0.1510010012946037
CYP1A2-sub,0.10854392234947652,-0.10201561245344062,-0.0010906206127982738,-0.0255134117185678,0.0663391432907918,0.0760394198987648,0.10249140732389464,-0.16652923939735909,0.06258764231942826,0.05525874310719758,0.07813063901222561,-0.14715748551741392,0.1921108939841618,0.22472435532103535,-0.09289790406363004,0.09825167806344878,-0.1041257555079289,0.08362308583539177,-0.12242924705365962,-0.03562826316620599,0.028789391843191847,-0.05147114689609536,-0.09701373317169548,-0.09108993661239383,0.19044828348022727,-0.0718104048820907,0.17786984783137882,-0.009057899710039806,0.015481280948473342,0.043464923812770284,0.1299062510351363,0.09244579169347952,0.3797808444971149,0.019446609941270267,0.038246257588075955,-0.16108804111668057,-0.05744519483309363,-0.00018724377237785972,0.005285439263384803,-0.02445614067885039,0.1652720963143312,0.20362897012670234,-0.08558970202483943,0.14117656115988708,0.1358178329427298,0.12111422942674943,-0.21674668957947427,-0.17983400586597567,-0.05360164033328704,0.13869360164194075,-0.09047617026712143,-0.08486379658256499,-0.03647254387530874,0.05879468410129214,0.04689383771746934,0.2587638523987663,0.04492335061124053,-0.028981934591125393,0.17834150942270655
CYP2C19-inh,0.14659160976568325,-0.05580308977100554,-0.16367982706636755,0.04372172051723946,-0.07062281726913067,-0.057997644209176955,-0.08093698820632853,-0.08434486719141271,0.009765826059322635,0.10954395317668386,-0.12345113472326873,0.13565768243360085,0.10371384395034561,-0.10286496795559534,-0.3206654473517442,0.08710639136770038,-0.02312852374300143,-0.08519297336578077,0.01537764957159164,0.08014936729097899,0.08060715420402814,0.006215774157848028,0.12019624789249161,0.08098756604862872,-0.022797391406300785,0.005904773149637818,0.1028059037319767,-0.0647683516748124,-0.06367613422278254,0.19222295092070557,0.0027607142250098415,0.05368351737240523,-0.035037971581855454,0.05505614231138866,-0.013155146685901778,0.0354533011271818,-0.014935139953470039,-0.03660888037247248,0.028828387820852182,-0.0496270584067305,-0.023269477478007464,0.04582696381151237,-0.014787433309610298,-0.05975547492798619,0.0297229915086449,-0.027515703397392864,-0.06368516240601775,-0.018056293101970197,0.0032982170068071998,0.03406085235614926,0.039029749815639794,0.09058736080391351,-0.03388832676468188,0.08978119339663018,-0.006444164363044415,0.14842015809404197,-0.006946575677074587,0.05806018153052549,0.06947229636774216
CYP2C19-sub,0.10942208691261482,-0.10150877241045558,0.18257593003245187,-0.06300822533995082,0.04612642645193675,-0.06529298627044769,0.17288418821580234,0.027135819705871672,0.012452761974239057,0.007875778284526319,0.07732791498096603,0.05139097484256508,0.20368426745410054,0.2061082871489699,-0.0698025825415655,-0.1288481809438499,0.018848718742180373,-0.15874581294747597,0.00859913120736484,0.019145901196514978,0.007864715487416143,-0.031483911600887204,-0.060706881963273146,-0.1280093968440349,0.06085011755425276,0.09533867431822601,0.002589686481870704,-0.0622235092776523,0.036145530044826915,0.005107968058179974,-0.15474306656243983,-0.093289419638139,0.0005741782177932642,-0.003486772764542248,-0.0864336440125133,0.012641022499729093,-0.06317280878900006,-0.0032156730487756247,-0.06851107066698624,0.13374934635029123,-0.046697979481792495,0.02526453255725514,-0.048007691990908,0.06431696324430605,0.18220697446305634,-0.12097308429146517,0.032214131352491876,0.08183118881718869,0.162092978488664,-0.1534912865852712,-0.15459600743344198,0.05435703485726566,0.026141755978306917,-0.0478024031450965,-0.033763491253055826,-0.09081970556997308,0.03479500173344846,-0.001887372923868284,0.08057546361461472
CYP2C9-inh,0.12698079898034426,0.0038836830788978125,-0.21615571702731,0.08217974480542295,-0.06580783864296717,-0.1475442651564145,-0.07816308818467203,0.030365846854434705,-0.013128469109575158,0.10645254155585625,-0.040920655833076525,0.10912984881717556,0.07185907205193992,-0.14285819153018836,-0.19416885160307387,0.11672033209671906,0.011869536627744738,-0.14731792187997628,0.010401258202340847,0.014171634574596834,0.11884000413761124,-0.07584842913867346,0.02498392145698053,0.08438265319619871,-0.08403648007188139,0.02625678621753872,-0.03764981254941058,-0.07119165808591676,0.010982140423127035,0.16247047837551068,-0.07926294928493302,0.026713750517025812,-0.15895259853880167,0.02587611575994403,-0.0825192017513411,0.04379312085864784,0.07952602029530295,0.0031016273938418715,0.05126998001943946,0.01693305391763417,-0.016252322228142588,0.021964308683869102,0.020535164392776223,-0.05066183550577645,0.010926569561814632,-8.291417013639208e-05,-0.13895276377584403,-0.12595156393883636,-0.0780463825943814,-0.005691244173576554,-0.03677906978831765,0.14622071954030905,-0.09097186750945441,0.042832140545777914,-0.0022109912130240106,0.01804317214738102,-0.08713294713099147,0.07669200829225782,0.14108635453166082
