LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-4.306,1.95,1.494,0.167,0.825,0.003,0,0.113,-5.111,5.42E-05,0.05,94.11,0.335,5.38,0.014,0.98,0.026,0.877,0.112,0.088,0.02,0.187,0.8,0.886,6.455,0.188,0.097,0.516,0.69,0.704,0.054,0.884,0.061,0.614,0.003,0.029,0.542,1.269,4.425,6.835,7.093,0.085,0.798,0.952,0.748,0.463,0.084,0.937,0.709,0.882,0.16,0.95,0.993,588.18,546.063,1.077,13,3,160.83,5,7,16,13,0,37,0.135,10,1,0,0,0,5,4,2,0,0.43,4.904,0.552,143.111,1.886,3,0,1,0,0,1,0,0
-4.081,3.168,5.292,0.021,0.938,0.044,0.054,0.299,-5.869,0.001564821112,0.051,83.44,0.625,8.57,0.007,0.96,0.104,0.418,0.314,0.006,0.004,0.086,0.74,0.955,6.636,0.207,0.001,0.359,0.924,0.836,0.165,0.95,0.009,0.019,0.003,0.858,0.909,1.004,5.54,7.587,7.762,0.068,0.037,0.733,0.504,0.455,0.774,0.033,0.871,0.969,0.954,0.995,0.998,1097.9,874.718,1.255,19,2,228.73,20,6,13,28,0,36,0.556,10,2,0,1,0,9,5,6,2,0.071,5.929,0.568,167.276,1.135,3,1,1,1,0,1,0,0
-2.53,0.098,0.618,0.006,0.973,0.006,0.003,0.114,-5.926,6.92E-05,0.054,85.42,0.37,5.48,0.013,0.954,0.025,0.804,0.022,0.044,0.011,0.121,0.262,0.708,2.001,0.572,0.028,0.336,0.698,0.754,0.101,0.96,0.1,0.321,0.003,0.012,0.777,0.948,4.909,6.821,7.218,0.34,0.175,0.152,0.038,0.16,0.012,0.008,0.075,0.966,0.083,0.791,0.923,668.15,592.26,1.128,16,3,204.2,7,7,16,17,0,39,0.179,10,1,0,0,0,2,1,1,0,0.281,5.457,0.552,153.844,1.642,2,1,0,0,0,1,0,0
-3.071,0.124,0.565,0.001,0.998,0.017,0.001,0.678,-6.513,0.0001194756987,0.059,77.5,0.458,13.56,0.004,0.895,0.021,0.794,0.002,0.047,0.011,0.105,0.066,0.176,1.121,0.214,0.039,0.391,0.963,0.328,0.038,0.488,0.015,0.126,0.003,0.007,0.04,0.903,4.045,6.416,6.955,0.286,0.705,0.577,0.417,0.273,0.041,0.472,0.155,0.845,0.027,0.52,0.963,764.22,691.387,1.105,19,6,257.05,8,8,16,19,0,44,0.182,15,1,0,0,0,3,4,1,0,0.175,5.539,0.6,178.5,1.75,2,0,0,0,0,1,0,0
