MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond do0rs,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
647.5,42,22,0.2,9,7,2,160.67,160.71,4.1,4.77,3.44,2.6,5.68,4.12,-6.65,0.000144,2.22E-07,1,-7.88,8.62E-06,1.33E-08,1,-9.74,1.18E-07,1.82E-10,1,0,0,0,1,0,1,0,1,-6.86,1,2,1,1,2,0.55,0,2,3,4.79
475.49,35,16,0.38,5,7,1,130.74,110.96,3.54,1.73,1.44,1.16,3.45,2.26,-3.89,0.0618,0.00013,3,-3.68,0.1,0.000211,3,-6.25,0.000266,5.60E-07,1,1,0,1,0,0,1,1,1,-7.97,0,1,0,0,0,0.55,0,0,1,4.42
603.04,42,22,0.2,9,7,2,157.98,160.71,3.62,4.71,3.33,2.51,5.64,3.96,-6.34,0.000276,4.57E-07,1,-7.81,9.26E-06,1.54E-08,1,-9.56,1.65E-07,2.73E-10,1,0,0,0,1,0,1,0,1,-6.63,1,2,1,1,2,0.55,0,2,3,4.76
588.65,41,21,0.24,10,7,2,155.65,188.95,3.38,4,3.13,1.89,6.02,3.68,-5.73,0.0011,1.87E-06,2,-7.67,1.26E-05,2.14E-08,1,-8.64,1.35E-06,2.29E-09,1,0,0,1,0,0,1,0,1,-7.05,1,2,1,1,1,0.55,0,2,3,4.79
642.7,46,22,0.29,11,8,2,172.15,160.71,4.04,5.9,4.65,3.16,6.73,4.9,-7.17,4.35E-05,6.77E-08,1,-9.05,5.75E-07,8.94E-10,1,-10.04,5.81E-08,9.04E-11,0,0,0,1,1,0,1,0,1,-6.03,1,3,2,1,3,0.55,0,2,3,5.56
604.65,43,22,0.32,5,10,1,163.59,130.42,3.98,2.29,3.05,1.86,3.47,2.93,-5.08,0.00503,8.32E-06,2,-4.67,0.013,2.16E-05,2,-8.46,2.08E-06,3.44E-09,1,1,0,1,0,0,1,1,1,-8.36,1,3,0,0,1,0.55,0,0,1,5.01
532.59,39,16,0.45,6,8,1,148.06,114.2,3.87,1.83,1.37,0.98,2.98,2.21,-4.2,0.0334,6.27E-05,2,-3.85,0.0755,0.000142,3,-6.35,0.00024,4.50E-07,1,1,0,1,0,0,1,1,1,-8.25,1,3,0,0,0,0.55,0,0,1,5.12
632.69,46,26,0.2,9,7,2,175.28,160.71,4.35,5.73,4.22,2.82,6.26,4.67,-7.2,4.02E-05,6.36E-08,1,-8.87,8.49E-07,1.34E-09,1,-10.61,1.54E-08,2.43E-11,0,0,0,0,1,0,1,0,1,-6.09,1,3,1,1,3,0.55,0,2,3,5.39
642.7,46,22,0.29,11,8,2,172.15,160.71,4.2,5.9,4.65,3.16,6.73,4.93,-7.17,4.35E-05,6.77E-08,1,-9.05,5.75E-07,8.94E-10,1,-10.04,5.81E-08,9.04E-11,0,0,0,1,1,0,1,1,1,-6.03,1,3,2,1,3,0.55,0,2,3,5.72
676.71,49,28,0.19,11,8,2,182.22,160.71,4.24,6.17,4.85,3.5,7.1,5.17,-7.62,1.62E-05,2.40E-08,1,-9.33,3.17E-07,4.69E-10,1,-11.69,1.38E-09,2.05E-12,0,0,0,0,1,0,1,0,1,-6.05,1,3,2,1,3,0.55,0,2,3,5.56
618.66,45,26,0.18,9,7,2,170.47,160.71,4.04,5.33,3.83,2.64,6.01,4.37,-6.87,8.40E-05,1.36E-07,1,-8.46,2.16E-06,3.49E-09,1,-10.6,1.55E-08,2.50E-11,0,0,0,0,1,0,1,0,1,-6.29,1,3,1,1,3,0.55,0,2,3,5
784.62,49,28,0.19,11,7,2,194.98,160.71,4.48,6.72,4.89,3.76,7.64,5.5,-8.64,1.82E-06,2.32E-09,1,-9.9,9.89E-08,1.26E-10,1,-12.2,5.01E-10,6.38E-13,0,0,0,0,1,0,1,0,0,-6.31,1,3,2,1,3,0.55,0,3,3,5.61
628.67,45,22,0.27,12,8,2,167.35,160.71,3.52,4.8,4.4,2.98,6.66,4.47,-6.33,0.000293,4.66E-07,1,-7.91,7.79E-06,1.24E-08,1,-10.41,2.46E-08,3.92E-11,0,0,0,1,1,0,1,1,1,-6.73,1,3,2,1,2,0.55,0,2,3,5.1
616.71,43,21,0.29,10,7,2,165.27,188.95,3.83,5.46,3.76,2.28,6.5,4.36,-6.8,9.67E-05,1.57E-07,1,-9.18,4.03E-07,6.53E-10,1,-8.67,1.33E-06,2.16E-09,1,0,0,1,0,0,1,0,1,-6.19,1,3,1,1,3,0.55,0,2,3,5.33
596.65,43,22,0.25,11,7,2,162.36,160.71,3.78,3.92,2.99,2.16,5.81,3.73,-5.66,0.0013,2.18E-06,2,-6.99,6.05E-05,1.01E-07,1,-9.77,1.02E-07,1.71E-10,1,0,0,1,0,0,1,1,1,-7.16,1,3,2,1,1,0.55,0,2,3,4.98
569.59,41,22,0.21,9,8,2,150.76,173.6,2.95,3.01,2.07,1.1,4.42,2.71,-5.07,0.00484,8.50E-06,2,-6.32,0.000272,4.78E-07,1,-8.62,1.37E-06,2.40E-09,1,0,0,1,0,0,1,0,1,-7.64,2,2,1,1,1,0.17,0,2,2,4.71
715.75,52,31,0.18,11,8,3,194.08,176.5,4.46,6.3,5.33,3.22,7.62,5.39,-7.96,7.82E-06,1.09E-08,1,-9.8,1.15E-07,1.60E-10,1,-12.52,2.17E-10,3.03E-13,0,0,0,1,1,0,1,0,1,-6.19,2,3,2,1,4,0.17,0,2,3,5.74
574.65,41,16,0.4,9,7,2,154.99,160.71,4.13,4.5,2.94,1.99,5.09,3.73,-5.93,0.000671,1.17E-06,2,-7.6,1.46E-05,2.54E-08,1,-7.91,7.15E-06,1.24E-08,1,0,0,1,0,0,1,0,1,-6.61,1,3,1,1,1,0.55,0,2,3,5.02
600.62,43,22,0.23,10,8,2,157.73,160.71,4.04,4.08,3.62,2.6,5.83,4.04,-5.85,0.000843,1.40E-06,2,-7.16,4.16E-05,6.92E-08,1,-9.63,1.39E-07,2.32E-10,1,0,0,1,1,0,1,0,1,-7.07,1,2,1,1,2,0.55,0,2,3,4.86
600.62,43,22,0.23,9,8,2,157.73,160.71,3.39,4.58,3.62,2.6,5.66,3.97,-6.23,0.000351,5.84E-07,1,-7.68,1.26E-05,2.10E-08,1,-9.26,3.29E-07,5.47E-10,1,0,0,1,1,0,1,0,1,-6.71,1,2,1,1,2,0.55,0,2,3,5.15
643.73,45,22,0.28,12,8,2,172.78,198.9,3.75,4.05,3.19,1.67,5.59,3.65,-5.95,0.000718,1.12E-06,2,-7.93,7.55E-06,1.17E-08,1,-9.47,2.18E-07,3.38E-10,1,0,0,1,0,0,1,1,1,-7.35,2,3,2,1,2,0.17,0,2,3,5.43
617.07,43,22,0.23,10,7,2,162.79,160.71,4.14,4.61,3.72,2.7,6.05,4.24,-6.29,0.000317,5.14E-07,1,-7.71,1.20E-05,1.95E-08,1,-9.95,6.92E-08,1.12E-10,1,0,0,1,1,0,1,0,1,-6.79,1,2,1,1,2,0.55,0,2,3,4.85
596.65,43,22,0.25,9,7,2,162.74,160.71,3.43,4.84,3.37,2.43,5.77,3.97,-6.37,0.000253,4.24E-07,1,-7.95,6.72E-06,1.13E-08,1,-9.38,2.52E-07,4.22E-10,1,0,0,1,1,0,1,0,1,-6.5,1,3,1,1,1,0.55,0,2,3,5.27
642.7,46,22,0.29,11,8,2,172.15,160.71,3.92,5.9,4.65,3.16,6.73,4.87,-7.17,4.35E-05,6.77E-08,1,-9.05,5.75E-07,8.94E-10,1,-10.04,5.81E-08,9.04E-11,0,0,0,1,1,0,1,0,1,-6.03,1,3,2,1,3,0.55,0,2,3,5.53
506.55,37,16,0.41,8,8,1,136.64,114.2,3.55,1.28,1.22,0.59,2.85,1.9,-3.58,0.134,0.000264,3,-3.28,0.267,0.000528,3,-6.42,0.000194,3.83E-07,1,1,0,1,0,0,1,0,1,-8.48,1,2,0,0,0,0.55,0,0,2,4.69
504.53,37,16,0.41,5,8,1,142.36,114.2,3.6,1.05,0.21,0.59,2.68,1.62,-3.62,0.121,0.00024,3,-3.04,0.461,0.000914,3,-5.94,0.000574,1.14E-06,2,1,0,1,0,0,1,1,1,-8.63,1,2,0,0,0,0.55,0,0,1,4.61
558.56,40,21,0.21,9,8,2,145.23,173.85,3.76,3.48,2.27,0.94,4.37,2.96,-5.29,0.00286,5.13E-06,2,-6.81,8.59E-05,1.54E-07,1,-8.22,3.37E-06,6.03E-09,1,0,0,1,0,0,1,0,1,-7.24,2,2,1,1,1,0.17,0,2,2,4.71
660.73,46,22,0.27,12,8,2,174.94,186.01,4.18,5.22,4.36,2.98,6.6,4.67,-6.79,0.000108,1.63E-07,1,-8.87,8.83E-07,1.34E-09,1,-10.1,5.27E-08,7.98E-11,0,0,0,1,1,0,1,0,1,-6.62,1,3,2,1,3,0.55,0,2,3,5.48
814.95,58,21,0.54,20,11,3,223.81,215.12,5.28,1.11,2.16,1,5.29,2.97,-4.54,0.0235,2.88E-05,2,-5.22,0.0049,6.02E-06,2,-11.23,4.78E-09,5.86E-12,0,0,0,1,0,0,1,0,1,-10.48,2,3,2,1,5,0.17,0,1,2,7.22
489.52,36,16,0.41,5,7,1,135.55,110.96,3.62,2.08,1.83,1.36,3.68,2.51,-4.18,0.032,6.54E-05,2,-4.04,0.0447,9.12E-05,2,-6.52,0.000149,3.05E-07,1,1,0,1,0,0,1,1,1,-7.81,0,2,0,0,0,0.55,0,0,1,4.53
648.77,44,21,0.29,12,7,2,172.86,214.25,4.08,5.13,3.86,2.28,6.78,4.42,-6.66,0.000143,2.21E-07,1,-9.37,2.74E-07,4.23E-10,1,-9.11,5.08E-07,7.83E-10,1,0,0,1,0,0,1,0,1,-6.62,1,3,2,1,3,0.55,0,2,3,5.41
503.55,37,16,0.43,6,7,1,140.51,110.96,3.77,2.52,2,1.56,4.38,2.85,-4.47,0.0169,3.36E-05,2,-4.5,0.0161,3.19E-05,2,-7.01,4.89E-05,9.71E-08,1,1,0,1,0,1,1,1,1,-7.58,1,2,0,0,0,0.55,0,0,1,4.66
672.77,47,22,0.29,13,8,2,181.47,195.24,4.29,5.09,3.81,2.3,6.26,4.35,-6.71,0.000132,1.97E-07,1,-8.93,7.85E-07,1.17E-09,1,-9.93,7.90E-08,1.17E-10,1,0,0,1,0,0,1,1,1,-6.79,2,3,2,1,3,0.17,0,2,3,5.62
645.12,45,22,0.27,12,7,2,172.4,160.71,3.92,5.32,4.5,3.07,6.88,4.74,-6.76,0.000112,1.73E-07,1,-8.45,2.31E-06,3.58E-09,1,-10.72,1.23E-08,1.91E-11,0,0,0,0,1,0,1,0,1,-6.46,1,3,2,1,3,0.55,0,2,3,5.1
