LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-2.694,-0.259,-0.227,0.039,0.999,0.008,0.001,0.001,-5.568,0.0001894061425,0.436,80.36,0.919,19.14,0.095,0.585,0.019,0.057,0.037,0.022,0.002,0.05,0.102,0.37,1.467,0.055,0.01,0.221,0.907,0.043,0.184,0.214,0.884,0.753,0.003,0.011,0.992,0.07,4.608,4.393,4.564,0.011,0.688,0.195,0.135,0.231,0.133,0.021,0.168,0.013,0.029,0.796,0.495,476.1,438.641,1.085,10,5,187.28,2,4,18,11,-2,24,0.083,5,3,1,0,0,2,3,2,1,0.359,5.193,0.409,111.774,0.693,2,0,0,0,1,1,0,1
-1.753,-0.231,-0.054,0.169,0.998,0.72,0.004,0.227,-6.244,5.36E-05,0.029,44.12,0.907,56.96,0.002,0.046,0.015,0.093,0.005,0.057,0.001,0.251,0.025,0.204,2.369,0.022,0.024,0.063,0.596,0.035,0.861,0.006,0.462,0.377,0.004,0.008,0.978,-0.159,3.71,5.192,3.113,0,0.006,0.003,0.001,0.046,0.013,0.001,0.042,0.006,0,0.111,0.114,586.26,569.365,1.03,13,5,188.02,7,5,18,13,0,32,0.219,7,2,0,0,0,4,0,1,0,0.225,4.77,0.621,129.894,0.582,1,1,1,0,0,1,0,0
-0.449,-1.287,-1.322,0.013,0.999,0.328,0.004,0.987,-6.558,5.51E-05,0.034,40.98,0.36,64.26,0.004,0.059,0.018,0.062,0.003,0.016,0.001,0.059,0.03,0.111,1.219,0.143,0.023,0.064,0.763,0.067,0.227,0.007,0.162,0.144,0.003,0.005,0.948,0.025,4.095,5.386,5.195,0.001,0.002,0.001,0.001,0.096,0.006,0,0.038,0.006,0,0.116,0.038,635.23,593.529,1.07,16,9,263.49,7,5,18,16,0,32,0.219,12,3,0,1,0,5,0,1,0,0.105,5.408,0.621,142.128,1.447,1,1,1,0,0,1,0,0
-1.592,0.531,0.479,0.652,1,0.085,0,0.001,-6.418,5.03E-05,0.006,63.63,0.75,53.48,0,0.05,0.01,0.048,0.015,0.013,0,0.139,0.116,0.191,1.651,0.001,0.022,0.056,0.799,0.011,0.992,0.008,0.324,0.342,0.003,0.004,0.988,-0.208,5.158,7.156,6.147,0,0.002,0.001,0,0.051,0.015,0,0.007,0.003,0,0.213,0.057,1000.41,969.345,1.032,22,8,329.1,13,8,18,22,0,52,0.25,14,2,0,0,0,4,0,1,0,0.083,6.39,0.56,225.077,0.452,1,2,1,0,0,1,0,0
-1.312,-0.003,0.821,0.006,0.997,0.016,0.002,0.004,-6.351,8.01E-05,0.036,45.11,1.007,59.62,0.013,0.12,0.021,0.067,0.009,0.059,0.004,0.115,0.142,0.725,2.709,0.087,0.014,0.087,0.87,0.01,0.972,0.031,0.275,0.454,0.016,0.011,0.977,0.03,4.96,6.353,4.367,0.001,0.014,0.034,0.008,0.041,0.006,0.001,0.032,0.008,0.001,0.381,0.146,508.12,467.363,1.087,11,5,181.54,4,4,18,12,0,26,0.154,7,3,2,0,0,4,1,2,2,0.245,4.79,0.522,114.086,0.891,1,1,1,0,0,1,0,0
-2.07,0.002,0.54,0.006,0.999,0.018,0.001,0.003,-6.254,5.45E-05,0.055,56.36,1.632,48.9,0.026,0.086,0.023,0.079,0.029,0.044,0.008,0.195,0.237,0.599,5.149,0.052,0.037,0.32,0.908,0.01,0.947,0.113,0.138,0.325,0.004,0.014,0.954,0.168,4.817,6.193,4.609,0.001,0.073,0.151,0.005,0.052,0.014,0.018,0.164,0.09,0.005,0.555,0.364,457.18,445.568,1.026,10,4,158.31,3,4,18,10,0,26,0.115,6,2,0,0,0,3,0,4,4,0.481,4.528,0.522,107.171,1.036,2,0,1,0,1,1,0,1
-2.635,-0.009,0.809,0.003,0.999,0.184,0.007,0.052,-6.583,3.35E-06,0.042,79.84,1.69,29.95,0.012,0.085,0.014,0.06,0.007,0.085,0.004,0.235,0.009,0.428,2.712,0.125,0.108,0.102,0.695,0.022,0.062,0.734,0.701,0.202,0.003,0.005,0.987,0.051,3.68,5.117,4.849,0.001,0.086,0.072,0.001,0.03,0.243,0.005,0.531,0.006,0.002,0.815,0.389,585.28,577.492,1.013,13,8,205.76,8,4,18,13,0,25,0.32,5,4,0,0,0,11,0,6,5,0.174,4.833,0.517,117.818,0.454,4,0,1,0,0,1,0,0
-1.069,0.162,0.463,0.003,0.999,0.064,0.001,0.001,-6.324,9.55E-05,0.04,50.15,1.194,51.75,0.018,0.08,0.018,0.082,0.006,0.039,0.005,0.096,0.206,0.497,2.831,0.087,0.031,0.111,0.922,0.007,0.963,0.032,0.064,0.136,0.005,0.01,0.888,0.111,4.783,6.377,5.868,0,0.006,0.067,0.002,0.039,0.005,0.006,0.036,0.094,0.002,0.318,0.064,444.15,426.066,1.042,10,5,175.3,2,4,18,10,0,26,0.077,8,2,0,0,0,2,0,1,0,0.391,4.735,0.5,108.03,1.31,1,0,1,0,1,1,0,1
-0.929,-0.054,0.109,0.005,0.999,0.037,0.001,0.002,-6.365,9.74E-05,0.038,40.29,0.638,62.16,0.011,0.087,0.014,0.062,0.005,0.038,0.004,0.077,0.045,0.422,2.014,0.133,0.03,0.099,0.924,0.007,0.933,0.018,0.05,0.19,0.005,0.011,0.851,0.045,4.453,5.979,4.669,0,0.009,0.044,0.004,0.046,0.006,0.005,0.029,0.306,0.002,0.355,0.097,460.15,434.856,1.058,11,6,195.53,2,4,18,11,0,26,0.077,8,2,0,0,0,2,0,1,0,0.294,4.865,0.5,115,1.316,1,0,1,0,0,1,0,1
-1.596,-1.064,-0.772,0.005,1,0.036,0.009,0.067,-6.801,6.78E-05,0.01,45.88,1.27,51.03,0.001,0.035,0.012,0.058,0.043,0.027,0.001,0.269,0.008,0.088,1.571,0.029,0.11,0.062,0.622,0.027,0.954,0.049,0.184,0.541,0.003,0.004,0.978,-0.344,3.859,4.91,4.332,0,0.001,0.01,0.001,0.05,0.024,0.001,0.063,0.003,0,0.106,0.088,626.28,599.289,1.045,16,9,256.04,7,5,18,16,0,34,0.206,7,2,0,0,1,4,0,2,0,0.1,5.089,0.552,137.8,0.556,1,1,1,0,0,1,0,0
-1.091,0.476,0.615,0.001,0.998,0.156,0,0.008,-6.496,4.23E-06,0.008,63.78,0.395,44.82,0.001,0.019,0.02,0.051,0.01,0.028,0.007,0.045,0.184,0.126,1.669,0.19,0.012,0.076,0.942,0.006,0.594,0.004,0.625,0.046,0.003,0.003,0.952,0.014,4.69,5.788,5.541,0,0.001,0.003,0.001,0.087,0.006,0,0.26,0.003,0,0.165,0.065,805.26,765.27,1.052,17,7,260.05,11,7,18,18,0,43,0.256,11,2,0,1,0,7,0,3,0,0.092,5.536,0.487,180.931,0.786,4,2,1,0,0,1,0,0
-2.027,0.121,1.007,0.228,0.998,0.074,0.001,0.007,-6.267,5.03E-05,0.038,45.35,1.179,61.61,0.007,0.076,0.022,0.088,0.012,0.044,0.012,0.185,0.047,0.314,3.538,0.029,0.025,0.064,0.715,0.019,0.959,0.025,0.298,0.445,0.008,0.009,0.982,0.075,4.746,5.916,3.858,0,0.005,0.028,0.003,0.042,0.008,0.003,0.04,0.008,0.001,0.206,0.118,527.23,514.986,1.024,11,4,164.55,5,5,18,11,0,31,0.161,7,2,0,0,0,4,0,1,0,0.365,4.697,0.593,128.093,0.725,1,1,1,0,0,1,0,0
-1.069,0.162,0.463,0.003,0.999,0.064,0.001,0.001,-6.324,9.55E-05,0.04,50.15,1.194,51.75,0.018,0.08,0.018,0.082,0.006,0.039,0.005,0.096,0.206,0.497,2.831,0.087,0.031,0.111,0.922,0.007,0.963,0.032,0.064,0.136,0.005,0.01,0.888,0.111,4.783,6.377,5.868,0,0.006,0.067,0.002,0.039,0.005,0.006,0.036,0.094,0.002,0.318,0.064,444.15,426.066,1.042,10,5,175.3,2,4,18,10,0,26,0.077,8,2,0,0,0,2,0,1,0,0.391,4.735,0.5,108.03,1.31,1,0,1,0,1,1,0,1
-1.513,0.226,2.161,0.007,0.997,0.017,0.074,0.001,-5.815,3.26E-06,0.047,95.45,0.893,2.43,0.073,0.122,0.029,0.272,0.026,0.229,0.008,0.179,0.352,0.538,2.686,0.147,0.034,0.067,0.895,0.024,0.725,0.058,0.471,0.167,0.006,0.025,0.882,0.408,4.67,5.596,6.003,0.002,0.244,0.826,0.371,0.066,0.38,0.099,0.59,0.016,0.007,0.953,0.942,411.13,403.643,1.019,8,5,154.99,1,4,18,8,0,25,0.04,4,2,0,0,0,3,0,1,1,0.498,4.454,0.364,100,1.45,1,0,1,0,1,1,0,1
-1.138,0.275,0.943,0.003,0.998,0.015,0.001,0,-6.293,0.0002538946574,0.031,51.74,0.75,50.08,0.02,0.109,0.026,0.062,0.017,0.084,0.008,0.163,0.191,0.457,4.408,0.044,0.042,0.157,0.901,0.012,0.932,0.232,0.162,0.404,0.004,0.014,0.914,0.185,4.933,6.365,5.081,0,0.051,0.101,0.005,0.042,0.062,0.007,0.122,0.104,0.004,0.677,0.231,459.13,425.921,1.078,12,4,198.21,3,4,18,12,0,27,0.111,6,3,0,0,0,2,0,4,5,0.279,4.571,0.476,109,0.833,3,0,1,0,1,1,0,1
-2.027,0.121,1.007,0.228,0.998,0.074,0.001,0.007,-6.267,5.03E-05,0.038,45.35,1.179,61.61,0.007,0.076,0.022,0.088,0.012,0.044,0.012,0.185,0.047,0.314,3.538,0.029,0.025,0.064,0.715,0.019,0.959,0.025,0.298,0.445,0.008,0.009,0.982,0.075,4.746,5.916,3.858,0,0.005,0.028,0.003,0.042,0.008,0.003,0.04,0.008,0.001,0.206,0.118,527.23,514.986,1.024,11,4,164.55,5,5,18,11,0,31,0.161,7,2,0,0,0,4,0,1,0,0.365,4.697,0.593,128.093,0.725,1,1,1,0,0,1,0,0
-1.611,-0.053,0.956,0.017,0.999,0.013,0.001,0.001,-6.262,9.31E-05,0.031,45.74,1.303,51.25,0.023,0.368,0.024,0.063,0.011,0.063,0.009,0.121,0.155,0.638,3.378,0.03,0.026,0.117,0.891,0.009,0.966,0.033,0.171,0.427,0.006,0.013,0.975,0.058,4.97,6.224,4.631,0.001,0.028,0.082,0.005,0.042,0.008,0.004,0.024,0.012,0.002,0.353,0.138,478.11,441.277,1.083,10,5,175.3,2,4,18,11,0,26,0.077,7,3,1,0,0,2,1,1,0,0.396,4.657,0.5,115,0.986,1,0,1,0,1,1,0,1
-2.132,0.355,1.585,0.004,0.998,0.116,0.003,0.005,-6.277,4.59E-06,0.023,52.57,1.991,58.25,0.017,0.066,0.025,0.108,0.045,0.043,0.019,0.217,0.429,0.733,3.939,0.026,0.098,0.535,0.864,0.009,0.684,0.791,0.234,0.204,0.003,0.005,0.976,0.135,4.89,6.476,5.406,0.001,0.037,0.116,0.005,0.048,0.024,0.014,0.285,0.052,0.006,0.869,0.56,556.29,560.341,0.993,11,5,170.34,7,4,18,11,0,26,0.269,6,3,0,0,0,3,0,4,4,0.352,4.754,0.621,116.915,0.643,2,0,1,1,0,1,0,0
-1.692,-0.156,0.477,0.008,0.999,0.015,0.001,0.001,-6.302,0.0001175135403,0.029,40.29,1.062,59.41,0.012,0.141,0.017,0.062,0.009,0.058,0.008,0.111,0.086,0.552,3.443,0.029,0.032,0.077,0.871,0.012,0.949,0.016,0.181,0.425,0.006,0.014,0.972,0.064,4.747,5.626,4.066,0.001,0.011,0.057,0.004,0.042,0.007,0.004,0.019,0.011,0.001,0.335,0.062,444.15,426.066,1.042,10,5,175.3,2,4,18,10,0,26,0.077,7,2,0,0,0,2,0,1,0,0.397,4.593,0.5,111.515,1.23,1,0,1,0,1,1,0,1
-1.628,-0.528,-1.914,0.001,0.997,0.033,0,0.003,-6.773,4.68E-05,0.01,33.85,0.628,72.34,0.002,0.029,0.023,0.053,0.021,0.031,0.003,0.098,0.046,0.078,2.388,0.071,0.022,0.032,0.599,0.012,0.331,0.011,0.175,0.399,0.003,0.011,0.978,-0.155,4.599,5.241,4.191,0,0.002,0.004,0.001,0.037,0.01,0.001,0.021,0.003,0,0.104,0.085,602.26,584.075,1.031,14,8,236.66,11,4,18,14,0,27,0.407,8,2,0,1,0,4,0,1,0,0.09,4.961,0.586,113.826,1.108,1,1,1,0,0,1,0,0
-1.069,0.162,0.463,0.003,0.999,0.064,0.001,0.001,-6.324,9.55E-05,0.04,50.15,1.194,51.75,0.018,0.08,0.018,0.082,0.006,0.039,0.005,0.096,0.206,0.497,2.831,0.087,0.031,0.111,0.922,0.007,0.963,0.032,0.064,0.136,0.005,0.01,0.888,0.111,4.783,6.377,5.868,0,0.006,0.067,0.002,0.039,0.005,0.006,0.036,0.094,0.002,0.318,0.064,444.15,426.066,1.042,10,5,175.3,2,4,18,10,0,26,0.077,8,2,0,0,0,2,0,1,0,0.391,4.735,0.5,108.03,1.31,1,0,1,0,1,1,0,1
-1.028,-0.039,0.45,0.001,0.995,0.03,0.001,0,-6.244,0.0001684531162,0.05,67.44,1.448,34.46,0.039,0.097,0.02,0.063,0.015,0.049,0.009,0.124,0.246,0.371,3.197,0.059,0.027,0.125,0.929,0.007,0.98,0.033,0.198,0.268,0.019,0.014,0.896,0.179,5.101,6.706,5.888,0,0.186,0.092,0.003,0.036,0.011,0.01,0.098,0.213,0.006,0.385,0.231,476.1,438.641,1.085,10,5,175.3,2,4,18,11,0,27,0.074,7,3,1,0,0,3,1,1,0,0.388,4.794,0.409,110.452,1.133,1,0,1,0,1,1,0,1
-2.019,-0.2,0.211,0.002,0.997,0.128,0.005,0.012,-6.393,6.92E-06,0.121,78.23,1.473,26.34,0.017,0.25,0.01,0.058,0.008,0.186,0.006,0.192,0.013,0.125,4.404,0.113,0.029,0.075,0.823,0.124,0.223,0.039,0.508,0.283,0.003,0.022,0.979,0.255,3.814,5.098,5.166,0,0.04,0.085,0.006,0.048,0.193,0.024,0.362,0.007,0.006,0.567,0.324,430.14,408.77,1.052,10,7,181.62,2,4,18,10,0,24,0.083,5,3,0,0,0,7,0,2,1,0.259,4.57,0.381,102.414,1.467,1,0,1,0,1,1,0,1
-1.069,0.162,0.463,0.003,0.999,0.064,0.001,0.001,-6.324,9.55E-05,0.04,50.15,1.194,51.75,0.018,0.08,0.018,0.082,0.006,0.039,0.005,0.096,0.206,0.497,2.831,0.087,0.031,0.111,0.922,0.007,0.963,0.032,0.064,0.136,0.005,0.01,0.888,0.111,4.783,6.377,5.868,0,0.006,0.067,0.002,0.039,0.005,0.006,0.036,0.094,0.002,0.318,0.064,444.15,426.066,1.042,10,5,175.3,2,4,18,10,0,26,0.077,8,2,0,0,0,2,0,1,0,0.391,4.735,0.5,108.03,1.31,1,0,1,0,1,1,0,1
