LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-3.516,1.021,1.414,0.006,0.929,0.005,0.002,0.001,-5.514,8.37E-06,0.463,62.62,1.207,20.91,0.97,0.942,0.124,0.33,0.224,0.125,0.022,0.241,0.628,0.69,10.011,0.31,0.438,0.664,0.177,0.849,0.791,0.979,0.039,0.367,0.003,0.007,0.271,1.312,4.112,6.034,6.412,0.022,0.671,0.661,0.966,0.512,0.04,0.645,0.727,0.837,0.473,0.861,0.972,363.12,356.117,1.02,7,3,107.44,1,5,21,7,0,27,0.037,2,1,1,0,0,2,1,1,3,0.635,3.742,0.25,93.96,0.651,1,0,0,0,1,1,1,1
-3.685,1.111,1.373,0.061,0.996,0.007,0.003,0.003,-5.344,8.47E-06,0.822,73.41,1.882,25.07,0.684,0.948,0.025,0.378,0.079,0.13,0.07,0.749,0.105,0.75,15.542,0.26,0.564,0.818,0.314,0.929,0.246,0.949,0.119,0.284,0.003,0.007,0.223,1.257,4.93,6.347,6.261,0.006,0.531,0.8,0.947,0.599,0.612,0.489,0.642,0.608,0.918,0.895,0.969,421.16,416.795,1.01,8,2,104.89,3,5,21,8,0,27,0.111,1,2,1,0,0,3,1,2,3,0.487,3.481,0.348,99,0.901,4,0,0,1,1,1,0,1
-5.705,3.422,4.933,0.854,0.967,0.01,0.071,0.549,-5.627,1.47E-05,0.5,94.28,2.156,4.18,0.157,0.752,0.448,0.172,0.199,0.078,0.678,0.765,0.487,0.573,8.476,0.059,0.89,0.957,0.687,0.606,0.758,0.966,0.072,0.079,0.003,0.006,0.486,1.225,4.956,6.584,5.771,0.016,0.173,0.674,0.889,0.467,0.686,0.605,0.525,0.162,0.712,0.585,0.971,521.21,518.435,1.005,7,1,84.66,3,6,22,8,0,34,0.088,1,2,2,0,0,2,2,1,3,0.395,3.651,0.483,123.07,0.187,1,0,0,0,1,1,0,0
-5.145,2.826,3.706,0.242,0.999,0.041,0.31,0.996,-6.368,3.95E-06,0.031,96.01,1.59,6.28,0.022,0.128,0.349,0.085,0.918,0.121,0.309,0.069,0.95,0.616,10.708,0.41,0.733,0.987,0.972,0.905,0.655,0.952,0.031,0.021,0.003,0.003,0.03,1.037,5.138,7.409,7.274,0,0.031,0.88,0.984,0.344,0.539,0.933,0.888,0.553,0.965,0.919,0.985,895.32,865.783,1.034,18,6,237.48,17,8,21,19,0,47,0.362,8,2,2,2,0,6,1,5,4,0.072,5.371,0.4,165.952,0.669,4,0,0,0,0,1,0,0
-5.422,2.464,3.365,0.081,0.798,0.006,0.004,0.011,-5.337,1.79E-05,0.224,97.3,0.525,1.65,0.906,0.716,0.872,0.103,0.868,0.334,0.571,0.529,0.857,0.2,4.967,0.093,0.433,0.954,0.205,0.79,0.957,0.947,0.051,0.358,0.003,0.01,0.056,1.559,4.733,6.14,5.663,0.005,0.606,0.76,0.963,0.82,0.762,0.879,0.915,0.744,0.909,0.952,0.977,453.17,460.723,0.984,7,2,93.45,4,6,21,7,0,33,0.121,1,1,1,0,0,4,1,1,4,0.403,3.249,0.222,105,0.479,2,0,0,0,1,1,0,1
-6.832,3.533,4.774,0.998,0.504,0.003,0.014,0.925,-4.874,2.41E-05,0.095,95.34,0.69,2.83,0.571,0.953,0.463,0.221,0.741,0.119,0.08,0.281,0.645,0.184,4.333,0.071,0.46,0.723,0.117,0.83,0.945,0.675,0.098,0.748,0.003,0.011,0.099,1.337,4.801,6.211,5.811,0.021,0.601,0.755,0.945,0.889,0.738,0.953,0.894,0.055,0.84,0.948,0.973,478.25,494.915,0.966,7,1,82.81,9,5,21,7,0,26,0.346,2,2,1,0,0,1,0,1,3,0.362,3.893,0.5,92.524,0.579,0,0,0,0,1,1,0,1
-4.937,2.717,3.812,0.999,0.004,0.109,0.994,0.998,-5.042,3.50E-05,0.033,97.67,0.434,1.9,0.041,0.933,0.459,0.686,0.789,0.141,0.05,0.066,0.814,0.925,9.758,0.186,0.007,0.916,0.987,0.539,0.562,0.992,0.087,0.468,0.003,0.005,0.924,0.4,3.8,5.887,5.034,0.001,0.023,0.799,0.965,0.636,0.649,0.404,0.874,0.027,0.826,0.953,0.977,578.24,569.962,1.015,12,2,149.29,9,5,21,12,0,29,0.31,2,3,2,0,1,2,2,3,5,0.258,4.162,0.433,119.302,0.177,1,0,0,0,0,1,0,0
-3.793,1.537,2.196,0.027,0.983,0.005,0.004,0.01,-5.302,1.73E-05,0.74,75.56,2.094,23.87,0.917,0.838,0.408,0.612,0.067,0.162,0.181,0.551,0.62,0.355,7.681,0.109,0.823,0.966,0.23,0.859,0.546,0.962,0.068,0.055,0.003,0.006,0.206,1.424,4.319,6.326,5.81,0.004,0.218,0.542,0.957,0.653,0.701,0.185,0.555,0.708,0.872,0.833,0.964,419.18,425.301,0.986,7,2,93.45,5,5,21,7,0,27,0.185,1,1,1,0,0,2,1,1,3,0.382,3.346,0.375,92.273,0.675,1,0,0,0,1,1,0,1
-5.009,3.24,4.658,0.319,0.993,0.691,0.996,0.993,-5.484,2.31E-05,0.024,98.61,0.836,1.79,0.148,0.12,0.888,0.056,0.966,0.578,0.696,0.097,0.962,0.257,7.425,0.087,0.179,0.599,0.884,0.861,0.908,0.908,0.081,0.169,0.003,0.004,0.028,0.696,5.278,5.209,6.205,0.001,0.017,0.44,0.728,0.7,0.853,0.556,0.891,0.26,0.96,0.935,0.992,894.17,808.268,1.106,15,5,214.03,21,6,21,18,0,37,0.568,1,1,2,4,0,4,4,5,5,0.018,4.39,0.375,118.145,0.536,3,2,0,0,0,1,0,0
-5.587,2.605,2.382,0.352,0.258,0.005,0.016,0.695,-4.755,2.48E-05,0.632,92.8,0.807,3.88,0.77,0.958,0.233,0.376,0.496,0.158,0.108,0.609,0.351,0.24,5.141,0.191,0.031,0.879,0.157,0.963,0.806,0.957,0.036,0.98,0.003,0.025,0.955,1.859,4.432,6.053,6.179,0.265,0.819,0.845,0.9,0.844,0.431,0.835,0.902,0.456,0.598,0.882,0.971,396.15,388.416,1.02,6,1,73.58,4,5,21,7,0,26,0.154,2,2,1,1,0,1,3,1,4,0.574,3.905,0.364,91.467,0.699,0,0,0,0,1,1,1,1
