PC1
-840500.4510207943
-840486.6460055129
-840601.0161901378
28807099.596585106
-840605.807269787
-840409.1429530757
-840491.2300716316
-840664.2283619936
-840664.228363972
37951733.37661537
-840724.9064556381
-840664.2283619815
-840562.5881946723
-840215.2395728589
-840620.3003146781
-840586.1082844592
-840511.0611079128
-840655.7223700475
-840272.754610822
-840692.6074138195
-840575.074186473
-840215.2395728735
-840116.8865688692
-840605.0892592283
-840626.5993106309
-840692.521415943
-840530.7121216017
-840596.8502702754
-840460.4139823308
-840495.2900600779
-840638.4263450688
-840677.8613976552
-840476.5710554076
-840074.944348678
-840495.2900580474
-840694.3723525933
-840742.2024829661
-840159.1045091442
-840406.3189251275
-840658.5553494085
-840706.4724053356
-840662.5973479631
-840443.3519867634
-840594.2142654321
-840603.0042907307
-840397.528894617
-840497.375026441
-840640.7783263733
-840735.9034893122
-840535.8801434903
-840558.3042137477
-840605.6402934822
-840440.2169955865
-840658.074343333
-840491.2300716286
-840575.0741864663
-840486.5000324118
-840457.231992359
-840521.63207928
-840526.0330721858
-840512.5860818658
-840631.8423181572
-840578.7892012631
-840614.2322842756
-840675.2253930504
-840654.8923567104
-840537.8241424698
-840317.8257735689
-840637.9963489142
-840651.0412662732
-840664.0823960672
-840629.2063238152
-840619.5352708308
-840662.0393502048
-840709.5834078568
-840548.1211033845
-840564.945225253
-840677.8613996371
-840330.4247684572
-840612.3912923675
-840683.7303891146
-840724.906461023
-840632.272326361
-840735.9034887755
-840695.1574183932
-840605.8072718474
-840719.8744689993
-840658.2113282451
-840272.236701454
-840473.8840491597
-840127.597416657
-840719.8744708151
-840658.5553497061
-840666.4343682537
-840173.6455184649
-840550.5981545732
-840654.8923563653
-840654.8923563653
-840655.2923702413
-840629.3512969208
-840589.1372245138
-840440.2169955479
-840511.0611078667
-840649.1383446212
-840605.0892592686
-840554.3081389667
-840632.0392897857
-840640.399314609
-840513.7491013944
-840654.8923569472
-840680.4723506005
-840642.9853224806
-840483.8640306186
-840323.8437599461
-840674.9913565655
-840670.9573692795
-840648.9553048755
-840727.1134607688
-840492.5560722537
-840128.0564463068
-840658.2113282451
-840263.9645838167
-840638.4263450716
28807194.81673552
-840444.5650130424
-840518.8860778977
-840496.4530799381
-840567.8941759913
-840631.6592806332
-840646.9833405314
-840618.6902895789
76744504.63730548
-840460.6980125668
-840292.0387350671
-840523.1680988213
-840518.4560753821
-840709.9624131946
-840511.939107407
-840503.9579294719
-840398.5429281911
-840655.2923727744
-840672.5883939934
-840514.0240739372
-840562.8552035004
-840362.9368506748
-840523.1680987802
-840364.1468555273
-840453.9840073434
-840503.1490799541
-840614.1972870306
-840538.6221334981
-840595.1892510762
-840471.2800291359
-840560.5972098398
-840488.5760552073
-840433.9649884027
-840542.6821190169
-840709.5834076472
-840620.4962847636
-840477.9940365007
-840603.8343036071
-840594.2142654804
-840511.9391051338
-840662.597347988
-840403.679895245
-840193.6965531397
-840523.1680987759
-840629.6873181782
-840603.004291289
-840527.2461041707
-840605.0892592091
-840606.1862811283
-840466.3500347686
-840439.2889962993
-840599.2492306293
-840509.9520044194
-840614.7432714532
-840514.0240738199
-840525.3860969131
-840453.9840073729
-840506.5190514143
-840551.8581698075
-840456.5850157812
-840453.984007433
-840418.5619470918
-840473.8810398376
-840399.3517776647
-840471.2800335279
-840490.7940496946
-840494.6430855241
-840535.5341251759
-840384.1658744294
-840521.3261112338
-840505.872076924
-840505.8720747293
-840465.1370069351
-840496.7280520032
-840494.6430810558
-840453.9840073677
-840577.8932270741
-840586.4502196906
-840552.4001438665
-840452.7709810928
-840289.2517157095
-840597.4472487202
-840472.2850017373
-840580.1512262609
-840432.7519621816
-840462.1360086701
