Column Title,Mean,Standard Deviation
MW,546.7889795918368,127.362889631113
#Heavy atoms,38.224489795918366,8.877089674461748
#Aromatic heavy atoms,6.775510204081633,1.9500566885184065
Fraction Csp3,0.4287755102040816,0.06945120148532424
#Rotatable bonds,4.204081632653061,3.1687247161169765
#H-bond acceptors,10.775510204081632,2.95990784008028
#H-bond do0rs,6.714285714285714,1.6832508230603465
MR,135.35510204081635,33.231433232361056
TPSA,211.63469387755103,64.65563300743281
iLOGP,-3.0508163265306116,24.234341064277523
XLOGP3,-0.8863265306122449,1.886545226374513
WLOGP,0.011836734693877535,1.1885104007913079
MLOGP,-2.12734693877551,0.9943209062600717
Silicos-IT Log P,-0.4865306122448979,0.9385905901501289
Consensus Log P,-1.3077551020408162,5.089827381366568
ESOL Log S,-2.527142857142857,1.0795793934059073
ESOL Solubility (mg/ml),47.258375510204075,195.39454276355883
ESOL Solubility (mol/l),0.08347613061224488,0.35612791168155394
ESOL Class,3.122448979591837,0.5997448437052382
Ali Log S,-3.075714285714286,1.4947547178940988
Ali Solubility (mg/ml),124.27684806122447,515.4372401106987
Ali Solubility (mol/l),0.21299482448979593,0.8873459797335532
Ali Class,2.857142857142857,0.6123724356957945
Silicos-IT LogSw,-2.3136734693877554,0.9812676620014521
Silicos-IT Solubility (mg/ml),11.691736938775511,27.387350151175806
Silicos-IT Solubility (mol/l),0.021781912244897957,0.04497140121594701
Silicos-IT class,2.9183673469387754,0.2766416675862441
Pgp substrate,0.7346938775510204,0.44607128559988557
log Kp (cm/s),-10.264489795918369,1.827426538907116
Lipinski #violations,1.8571428571428572,1.118033988749895
Ghose #violations,1.653061224489796,1.4937511563198211
Veber #violations,1.0816326530612246,0.27664166758624403
Muegge #violations,2.63265306122449,1.4389503922277922
Bioavailability Score,0.11244897959183675,0.011994896874104764
PAINS #alerts,0.04081632653061224,0.199914947901746
Brenk #alerts,1.510204081632653,0.6494372236659931
Leadlikeness #violations,1.163265306122449,0.3734377890799553
Synthetic Accessibility,5.5389795918367355,0.8342642589380758
