MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond do0rs,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
695.05,47,12,0.24,4,15,9,160.95,301.9,1.44,-1.5,1.63,-1.93,-0.06,-0.08,-3.13,0.516,7.43E-04,3,-4.33,0.0322,4.63E-05,2,-2.19,4.54,0.00653,3,0,0,1,0,0,0,0,0,-11.6,3,3,1,1,4,0.11,0,2,1,5.88
430.41,31,6,0.38,2,9,6,105.53,181.62,2,-1.49,-0.71,-2.3,-1.1,-0.72,-1.58,11.3,0.0262,4,-1.82,6.53,0.0152,4,-1.23,25.3,0.0589,3,0,0,0,0,0,0,0,0,-9.98,1,1,1,1,2,0.11,0,1,1,4.93
786.34,49,6,0.41,2,21,9,150.85,538.49,-160.39,-4.94,0.36,-4.94,-0.98,-34.18,-1.56,21.6,2.74E-02,4,-5.73,0.00145,1.85E-06,2,-1.37,33.3,0.0424,3,0,0,1,0,0,0,0,0,-14.6,3,3,1,1,5,0.11,0,2,1,6
493.94,34,6,0.43,3,8,5,125.54,164.63,0,0.85,0.99,-1.39,-0.5,-0.01,-3.37,0.21,0.000426,3,-3.89,0.0636,0.000129,3,-2.12,3.76,0.0076,3,0,0,1,0,0,0,0,0,-8.71,0,1,1,1,1,0.11,0,1,1,5.15
558.56,40,6,0.48,6,11,6,142.56,193.73,1.64,-0.24,0.14,-1.6,0.14,0.02,-2.87,0.759,0.00136,3,-3.37,0.238,0.000426,3,-3.02,0.53,0.000948,3,0,0,1,0,0,0,0,0,-9.88,3,3,1,1,3,0.11,0,2,1,5.51
476.86,33,6,0.32,2,9,6,115.66,181.62,0.89,0.38,0.22,-1.68,-0.06,-0.05,-3.04,0.436,0.000915,3,-3.76,0.083,0.000174,3,-2.19,3.11,0.00653,3,0,0,1,0,0,0,0,0,-8.94,1,0,1,1,2,0.11,0,1,1,5.05
429.42,31,6,0.38,2,8,6,108.77,187.41,0.96,-0.87,-0.29,-2.03,-0.92,-0.63,-1.97,4.65,0.0108,4,-2.58,1.12,0.00261,3,-1.68,9.03,0.021,3,0,0,0,0,0,0,0,0,-9.54,1,0,1,1,2,0.11,0,3,1,4.83
444.43,32,6,0.41,2,9,6,110.22,181.62,1.51,-1.3,-0.32,-2.08,-0.59,-0.56,-1.78,7.32,0.0165,4,-2.02,4.28,0.00963,3,-1.82,6.68,0.015,3,0,0,0,0,0,0,0,0,-9.93,1,0,1,1,2,0.11,0,1,1,5.04
480.9,33,6,0.41,2,9,6,117.18,181.62,0,-0.5,0.48,-1.87,-0.59,-0.5,-2.51,1.49,0.0031,3,-2.85,0.685,0.00142,3,-1.82,7.23,0.015,3,0,0,1,0,0,0,0,0,-9.59,1,1,1,1,2,0.11,0,1,1,5.12
442.42,32,6,0.32,2,9,6,110.65,181.62,-1.35,-0.24,-0.44,-2.16,-0.71,-0.98,-2.44,1.61,0.00364,3,-3.12,0.339,0.000765,3,-1.6,11,0.0248,3,0,0,0,0,0,0,0,0,-9.17,1,1,1,1,2,0.11,0,1,1,5.05
447.87,31,10,0.32,1,8,5,114.88,158.15,0,2.83,2.07,-0.57,2.18E+00,1.3,-4.57,0.012,2.68E-05,2,-5.81,0.000695,1.55E-06,2,-3.93,0.0525,0.000117,3,0,0,1,0,0,0,0,0,-7.02,0,0,1,1,1,0.11,0,2,1,4.51
728.85,51,12,0.47,8,12,7,191.38,239.41,3.08,0.45,3.49,-0.56,1.01E+00,1.49,-4.29,0.0375,5.15E-05,2,-5.05,0.00656,9.00E-06,2,-4.08,0.061,8.38E-05,2,0,0,0,0,0,0,0,0,-10.43,3,3,1,1,4,0.11,1,2,2,6.67
464.85,32,6,0.38,2,9,6,110.54,181.62,1.55,-0.56,-0.06,-1.82,-0.45,-0.27,-2.38,1.96,0.00421,3,-2.78,0.764,0.00164,3,-1.81,7.17,0.0154,3,0,0,1,0,0,0,0,0,-9.53,1,0,1,1,2,0.11,0,1,1,4.92
501.31,33,6,0.38,2,9,6,117.5,181.62,0,0.24,0.74,-1.6,-0.45,-0.21,-3.1,0.396,0.000791,3,-3.61,0.122,0.000243,3,-1.81,7.73,0.0154,3,0,0,1,0,0,0,0,0,-9.19,2,1,1,1,2,0.11,0,1,1,5
631.48,42,6,0.48,6,11,6,156.49,193.73,0,1.36,1.75,-1.2,1.40E-01,0.41,-4.32,0.0301,4.77E-05,2,-5.03,0.00588,9.32E-06,2,-3.02,0.599,0.000948,3,0,0,1,0,0,0,0,0,-9.19,3,3,1,1,4,0.11,0,2,1,5.67
464.9,32,6,0.41,2,8,5,116.14,161.39,0,1.76,1.48,-1.1,-0.1,0.41,-3.84,0.0675,1.45E-04,3,-4.77,0.00795,1.71E-05,2,-2.19,2.97,0.0064,3,0,0,1,0,0,0,0,0,-7.89,0,0,1,1,1,0.11,0,1,1,5.07
444.43,32,6,0.41,2,9,6,110.22,181.62,1.23,-1.3,-0.32,-2.08,-0.59,-0.61,-1.78,7.32,0.0165,4,-2.02,4.28,0.00963,3,-1.82,6.68,0.015,3,0,0,0,0,0,0,0,0,-9.93,1,0,1,1,2,0.11,0,1,1,5.04
487.5,35,6,0.46,5,10,5,122.93,173.86,2.53,-0.19,-0.04,-1.61,-0.54,0.03,-2.54,1.41,0.00289,3,-3.01,0.482,0.000988,3,-2.23,2.85,0.00585,3,0,0,1,0,0,0,0,0,-9.41,1,1,1,1,1,0.11,0,2,1,5.25
